"","CITY","PROPERTY.TYPE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","X..SQUARE.FEET","State","Violent.Crimes","Murder.and.Non.Negligent.Manslaughter","Rape","Robbery","Aggravated.Assault"
"1700","Dallas","Single Family Residential",649000,3,2.5,2305,25308,1966,282,"Texas",8457,116,781,3856,3704
"1701","Dallas","Single Family Residential",1316500,4,4,4246,8102,2018,310,"Texas",8457,116,781,3856,3704
"1702","Dallas","Single Family Residential",335000,3,2,1634,10672,1951,205,"Texas",8457,116,781,3856,3704
"1703","Dallas","Single Family Residential",355000,3,2,3033,30928,1987,117,"Texas",8457,116,781,3856,3704
"1704","Dallas","Single Family Residential",795000,3,3,2161,11848,1957,368,"Texas",8457,116,781,3856,3704
"1705","Dallas","Single Family Residential",226999,4,2.5,2433,5750,2011,93,"Texas",8457,116,781,3856,3704
"1706","Dallas","Single Family Residential",163500,3,2,1731,6578,1978,94,"Texas",8457,116,781,3856,3704
"1707","Dallas","Single Family Residential",589900,3,2,1916,7623,1952,308,"Texas",8457,116,781,3856,3704
"1708","Dallas","Single Family Residential",369000,3,2.5,2348,5009,2000,157,"Texas",8457,116,781,3856,3704
"1710","Dallas","Single Family Residential",242500,3,2,1299,8538,1961,187,"Texas",8457,116,781,3856,3704
"1711","Dallas","Single Family Residential",432900,4,2,2010,11282,1957,215,"Texas",8457,116,781,3856,3704
"1712","Dallas","Single Family Residential",145000,2,1,950,7884,1951,153,"Texas",8457,116,781,3856,3704
"1713","Dallas","Townhouse",159900,4,2.5,2171,3180,1972,74,"Texas",8457,116,781,3856,3704
"1714","Dallas","Townhouse",460000,2,2.5,2387,2919,1994,193,"Texas",8457,116,781,3856,3704
"1715","Dallas","Multi-Family (2-4 Unit)",258000,6,4,3923,13721,1979,66,"Texas",8457,116,781,3856,3704
"1716","Dallas","Townhouse",135000,3,2,1760,3093,1978,77,"Texas",8457,116,781,3856,3704
"1717","Dallas","Single Family Residential",121000,2,2,1244,191271960,1984,97,"Texas",8457,116,781,3856,3704
"1719","Dallas","Single Family Residential",415000,4,4.5,2312,10149,1960,179,"Texas",8457,116,781,3856,3704
"1720","Dallas","Single Family Residential",420000,3,2,1929,9670,1972,218,"Texas",8457,116,781,3856,3704
"1721","Dallas","Single Family Residential",1500000,4,5.5,6365,43996,1978,236,"Texas",8457,116,781,3856,3704
"1722","Dallas","Single Family Residential",179900,3,2,1590,7492,1987,113,"Texas",8457,116,781,3856,3704
"1723","Dallas","Single Family Residential",5999000,3,4.5,8906,45825,1996,674,"Texas",8457,116,781,3856,3704
"1724","Dallas","Single Family Residential",388750,3,2,1971,9670,1957,197,"Texas",8457,116,781,3856,3704
"1726","Dallas","Single Family Residential",699900,5,4.5,4546,11326,1991,154,"Texas",8457,116,781,3856,3704
"1727","Dallas","Single Family Residential",265000,4,2.5,2352,9017,1979,113,"Texas",8457,116,781,3856,3704
"1729","Dallas","Single Family Residential",259900,4,2.5,3122,6360,2009,83,"Texas",8457,116,781,3856,3704
"1730","Dallas","Condo/Co-op",249900,1,1.5,1026,32452,1958,244,"Texas",8457,116,781,3856,3704
"1731","Dallas","Single Family Residential",299950,3,2,2058,6011,1993,146,"Texas",8457,116,781,3856,3704
"1732","Dallas","Single Family Residential",469900,2,2,1518,7579,1951,310,"Texas",8457,116,781,3856,3704
"1733","Dallas","Single Family Residential",1549000,5,6,5465,15638,2017,283,"Texas",8457,116,781,3856,3704
"1734","Dallas","Single Family Residential",1100000,3,3.5,3885,14201,1949,283,"Texas",8457,116,781,3856,3704
"1735","Dallas","Single Family Residential",995000,4,3.5,3837,13112,1952,259,"Texas",8457,116,781,3856,3704
"1736","Dallas","Single Family Residential",579000,2,2,1785,8799,1955,324,"Texas",8457,116,781,3856,3704
"1737","Dallas","Single Family Residential",159000,4,1,1419,10019,1952,112,"Texas",8457,116,781,3856,3704
"1738","Dallas","Single Family Residential",415000,4,3,2532,14810,1972,164,"Texas",8457,116,781,3856,3704
"1739","Dallas","Single Family Residential",191900,2,2,1036,4008,1981,185,"Texas",8457,116,781,3856,3704
"1740","Dallas","Single Family Residential",499000,3,3,2200,9322,1959,227,"Texas",8457,116,781,3856,3704
"1741","Dallas","Single Family Residential",531990,4,3,3048,5750,2018,175,"Texas",8457,116,781,3856,3704
"1742","Dallas","Single Family Residential",199000,3,1,1112,10890,1953,179,"Texas",8457,116,781,3856,3704
"1743","Dallas","Condo/Co-op",350000,2,2,1574,7492,2016,222,"Texas",8457,116,781,3856,3704
"1744","Dallas","Single Family Residential",485000,5,4,3526,16509,1990,138,"Texas",8457,116,781,3856,3704
"1745","Dallas","Single Family Residential",90000,4,2,1203,6839,1969,75,"Texas",8457,116,781,3856,3704
"1746","Dallas","Single Family Residential",112500,4,1.5,1019,6882,1970,110,"Texas",8457,116,781,3856,3704
"1747","Dallas","Single Family Residential",450000,4,3,3003,12197,1968,150,"Texas",8457,116,781,3856,3704
"1748","Dallas","Condo/Co-op",83500,2,2,1164,130070,1974,72,"Texas",8457,116,781,3856,3704
"1749","Dallas","Single Family Residential",149900,3,2,1334,7579,2004,112,"Texas",8457,116,781,3856,3704
"1750","Dallas","Single Family Residential",795000,4,3.5,3123,17076,1964,255,"Texas",8457,116,781,3856,3704
"1751","Dallas","Single Family Residential",399990,4,2.5,2736,10019,1969,146,"Texas",8457,116,781,3856,3704
"1752","Dallas","Single Family Residential",330000,3,2.5,2246,5663,1992,147,"Texas",8457,116,781,3856,3704
"1753","Dallas","Single Family Residential",1088000,4,4,3899,9845,1955,279,"Texas",8457,116,781,3856,3704
"1754","Dallas","Condo/Co-op",474000,2,2.5,1977,73399,2007,240,"Texas",8457,116,781,3856,3704
"1755","Dallas","Single Family Residential",374900,4,3.5,3627,11456,1983,103,"Texas",8457,116,781,3856,3704
"1756","Dallas","Single Family Residential",169000,3,2,1524,7431,1953,111,"Texas",8457,116,781,3856,3704
"1757","Dallas","Single Family Residential",775000,4,3.5,2804,7362,2013,276,"Texas",8457,116,781,3856,3704
"1758","Dallas","Multi-Family (2-4 Unit)",80900,4,1.5,1064,8233,1983,76,"Texas",8457,116,781,3856,3704
"1759","Dallas","Single Family Residential",1095000,3,4,3455,3920,1993,317,"Texas",8457,116,781,3856,3704
"1760","Dallas","Single Family Residential",329900,3,2,1598,9845,1960,206,"Texas",8457,116,781,3856,3704
"1761","Dallas","Single Family Residential",184900,3,2,1608,7971,2017,115,"Texas",8457,116,781,3856,3704
"1762","Dallas","Single Family Residential",55000,3,1,1032,9104,1949,53,"Texas",8457,116,781,3856,3704
"1763","Dallas","Single Family Residential",306000,5,3,2698,8276,1998,113,"Texas",8457,116,781,3856,3704
"1764","Dallas","Single Family Residential",649000,4,3,3660,12023,2000,177,"Texas",8457,116,781,3856,3704
"1766","Dallas","Single Family Residential",1397000,5,4.5,5586,14898,1993,250,"Texas",8457,116,781,3856,3704
"1767","Dallas","Single Family Residential",45000,2,1,980,11456,1945,46,"Texas",8457,116,781,3856,3704
"1768","Dallas","Single Family Residential",499900,2,2,1526,8581,1954,328,"Texas",8457,116,781,3856,3704
"1769","Dallas","Single Family Residential",630000,4,3.5,3486,22521,1964,181,"Texas",8457,116,781,3856,3704
"1770","Dallas","Single Family Residential",269500,3,2,1235,8451,1958,218,"Texas",8457,116,781,3856,3704
"1771","Dallas","Single Family Residential",1099000,4,4,4438,24916,1962,248,"Texas",8457,116,781,3856,3704
"1772","Dallas","Single Family Residential",589000,4,3.5,2952,12023,1969,200,"Texas",8457,116,781,3856,3704
"1773","Dallas","Single Family Residential",1249000,3,3.5,5441,4617,2002,230,"Texas",8457,116,781,3856,3704
"1774","Dallas","Single Family Residential",440000,4,2.5,2259,11413,1965,195,"Texas",8457,116,781,3856,3704
"1775","Dallas","Single Family Residential",269000,3,2,1244,7754,1957,216,"Texas",8457,116,781,3856,3704
"1777","Dallas","Single Family Residential",424900,4,3.5,3014,8712,1988,141,"Texas",8457,116,781,3856,3704
"1778","Dallas","Single Family Residential",362500,3,2,1829,7710,1960,198,"Texas",8457,116,781,3856,3704
"1780","Dallas","Townhouse",379900,2,2.5,1320,1917,1973,288,"Texas",8457,116,781,3856,3704
"1781","Dallas","Single Family Residential",95000,3,2,1308,11979,1958,73,"Texas",8457,116,781,3856,3704
"1782","Dallas","Condo/Co-op",235000,1,1,846,154028,1998,278,"Texas",8457,116,781,3856,3704
"1783","Dallas","Single Family Residential",2790000,5,6.5,6111,29839,1936,457,"Texas",8457,116,781,3856,3704
"1784","Dallas","Single Family Residential",250000,4,3,2610,20691,1954,96,"Texas",8457,116,781,3856,3704
"1785","Dallas","Single Family Residential",750000,3,2,2030,15290,1938,369,"Texas",8457,116,781,3856,3704
"1786","Dallas","Single Family Residential",425000,3,2,1904,7492,1925,223,"Texas",8457,116,781,3856,3704
"1787","Dallas","Single Family Residential",350000,2,2,1430,5750,1923,245,"Texas",8457,116,781,3856,3704
"1788","Dallas","Single Family Residential",165000,3,3,1377,7536,1954,120,"Texas",8457,116,781,3856,3704
"1789","Dallas","Single Family Residential",505000,3,2.5,2808,7144,1998,180,"Texas",8457,116,781,3856,3704
"1790","Dallas","Single Family Residential",289900,3,2,1461,12415,1959,198,"Texas",8457,116,781,3856,3704
"1791","Dallas","Single Family Residential",575000,4,2.5,2465,19602,1971,233,"Texas",8457,116,781,3856,3704
"1792","Dallas","Townhouse",115000,3,3,1476,5445,2007,78,"Texas",8457,116,781,3856,3704
"1793","Dallas","Single Family Residential",849000,4,2.5,3147,6708,1935,270,"Texas",8457,116,781,3856,3704
"1794","Dallas","Condo/Co-op",425000,2,2.5,1554,14767,2017,273,"Texas",8457,116,781,3856,3704
"1795","Dallas","Single Family Residential",249900,3,1,1215,7362,1953,206,"Texas",8457,116,781,3856,3704
"1797","Dallas","Single Family Residential",519900,3,2.5,2675,7667,2015,194,"Texas",8457,116,781,3856,3704
"1799","Dallas","Single Family Residential",410000,3,2,1636,8973,1949,251,"Texas",8457,116,781,3856,3704
"1800","Dallas","Single Family Residential",579000,3,2,1788,7797,1926,324,"Texas",8457,116,781,3856,3704
"1801","Dallas","Single Family Residential",690000,4,3.5,3462,17555,1973,199,"Texas",8457,116,781,3856,3704
"1802","Dallas","Condo/Co-op",201000,1,1,911,42863,1925,221,"Texas",8457,116,781,3856,3704
"1803","Dallas","Condo/Co-op",438000,3,3.5,1935,8015,1997,226,"Texas",8457,116,781,3856,3704
"1804","Dallas","Condo/Co-op",79900,1,1,552,86205,1982,145,"Texas",8457,116,781,3856,3704
"1805","Dallas","Single Family Residential",135000,3,1,1032,7536,1952,131,"Texas",8457,116,781,3856,3704
"1806","Dallas","Townhouse",374900,2,2.5,1521,2134,1999,246,"Texas",8457,116,781,3856,3704
"1807","Dallas","Single Family Residential",174900,2,2,1246,11674,1955,140,"Texas",8457,116,781,3856,3704
"1808","Dallas","Townhouse",524990,3,3.5,2420,1786,2006,217,"Texas",8457,116,781,3856,3704
"1810","Dallas","Single Family Residential",95000,4,2,1434,6534,1930,66,"Texas",8457,116,781,3856,3704
"1811","Dallas","Single Family Residential",134900,3,1.5,2547,8102,1962,53,"Texas",8457,116,781,3856,3704
"1812","Dallas","Single Family Residential",110000,3,2,1634,10237,1957,67,"Texas",8457,116,781,3856,3704
"1813","Dallas","Single Family Residential",239900,4,3,2468,10934,1965,97,"Texas",8457,116,781,3856,3704
"1814","Dallas","Single Family Residential",449000,3,2.5,2720,6098,1997,165,"Texas",8457,116,781,3856,3704
"1815","Dallas","Single Family Residential",204900,4,2.5,2171,8102,2017,94,"Texas",8457,116,781,3856,3704
"1816","Dallas","Single Family Residential",141900,4,2,1164,7667,1971,122,"Texas",8457,116,781,3856,3704
"1817","Dallas","Single Family Residential",494900,4,3,3056,9583,1986,162,"Texas",8457,116,781,3856,3704
"1818","Dallas","Single Family Residential",369900,3,2,1752,8538,1960,211,"Texas",8457,116,781,3856,3704
"1819","Dallas","Single Family Residential",315000,3,2,1904,9148,1963,165,"Texas",8457,116,781,3856,3704
"1820","Dallas","Single Family Residential",250000,2,2,1556,3485,1992,161,"Texas",8457,116,781,3856,3704
"1821","Dallas","Single Family Residential",185900,3,2,1694,9540,2017,110,"Texas",8457,116,781,3856,3704
"1822","Dallas","Condo/Co-op",57500,2,2,955,783644,1982,60,"Texas",8457,116,781,3856,3704
"1823","Dallas","Condo/Co-op",179900,1,1.5,920,249250,1983,196,"Texas",8457,116,781,3856,3704
"1824","Dallas","Single Family Residential",349900,3,2.5,2236,11238,1965,156,"Texas",8457,116,781,3856,3704
"1826","Dallas","Single Family Residential",379000,3,2,1888,8320,1938,201,"Texas",8457,116,781,3856,3704
"1827","Dallas","Single Family Residential",125000,3,2,1309,9060,2003,95,"Texas",8457,116,781,3856,3704
"1828","Dallas","Single Family Residential",244900,4,2,1557,5271,2001,157,"Texas",8457,116,781,3856,3704
"1829","Dallas","Single Family Residential",179999,5,2,1703,8276,2017,106,"Texas",8457,116,781,3856,3704
"1830","Dallas","Single Family Residential",174900,8,4.5,4040,14288,1959,43,"Texas",8457,116,781,3856,3704
"1831","Dallas","Multi-Family (2-4 Unit)",499000,3,2.5,2496,8320,2016,200,"Texas",8457,116,781,3856,3704
"1832","Dallas","Single Family Residential",214500,4,2.5,2400,6621,2013,89,"Texas",8457,116,781,3856,3704
"1833","Dallas","Single Family Residential",249000,3,2,2188,10367,1959,114,"Texas",8457,116,781,3856,3704
"1834","Dallas","Multi-Family (2-4 Unit)",279000,3,2,1902,5619,1979,147,"Texas",8457,116,781,3856,3704
"1835","Dallas","Condo/Co-op",192500,1,1,900,32757,2006,214,"Texas",8457,116,781,3856,3704
"1836","Dallas","Townhouse",165000,3,2.5,1383,2047,1983,119,"Texas",8457,116,781,3856,3704
"1837","Dallas","Condo/Co-op",270000,2,2,1225,138826,1970,220,"Texas",8457,116,781,3856,3704
"1838","Dallas","Single Family Residential",549000,3,2.5,2545,7492,2006,216,"Texas",8457,116,781,3856,3704
"1839","Dallas","Townhouse",140000,3,2,1760,3311,1978,80,"Texas",8457,116,781,3856,3704
"1840","Dallas","Condo/Co-op",444900,3,3.5,2046,110250,2014,217,"Texas",8457,116,781,3856,3704
"1841","Dallas","Single Family Residential",545000,4,3,3124,12197,1984,174,"Texas",8457,116,781,3856,3704
"1842","Dallas","Condo/Co-op",550000,2,2.5,2085,87425,2006,264,"Texas",8457,116,781,3856,3704
"1843","Dallas","Single Family Residential",129900,3,2,1284,4617,2008,101,"Texas",8457,116,781,3856,3704
"1844","Dallas","Single Family Residential",499000,4,3,4168,11326,1986,120,"Texas",8457,116,781,3856,3704
"1845","Dallas","Single Family Residential",1085000,5,4.5,4208,8015,2016,258,"Texas",8457,116,781,3856,3704
"1846","Dallas","Single Family Residential",250000,4,2,2190,8146,2015,114,"Texas",8457,116,781,3856,3704
"1847","Dallas","Condo/Co-op",249000,3,2,1304,104762,1965,191,"Texas",8457,116,781,3856,3704
"1848","Dallas","Single Family Residential",375000,4,2.5,2150,10367,1968,174,"Texas",8457,116,781,3856,3704
"1849","Dallas","Single Family Residential",550000,3,2,1638,7231,1930,336,"Texas",8457,116,781,3856,3704
"1850","Dallas","Single Family Residential",85000,3,1.5,1126,7492,1957,75,"Texas",8457,116,781,3856,3704
"1851","Dallas","Single Family Residential",251888,5,3,2708,8059,1989,93,"Texas",8457,116,781,3856,3704
"1852","Dallas","Single Family Residential",196900,3,1,1216,7623,1955,162,"Texas",8457,116,781,3856,3704
"1853","Dallas","Single Family Residential",159900,3,2,1275,4879,1985,125,"Texas",8457,116,781,3856,3704
"1854","Dallas","Single Family Residential",148000,3,1,1208,7057,1955,123,"Texas",8457,116,781,3856,3704
"1855","Dallas","Single Family Residential",629900,4,2.5,2220,8756,1968,284,"Texas",8457,116,781,3856,3704
"1857","Dallas","Single Family Residential",170000,4,3,2278,12981,1955,75,"Texas",8457,116,781,3856,3704
"1858","Dallas","Single Family Residential",303500,3,2,1678,8799,1962,181,"Texas",8457,116,781,3856,3704
"1859","Dallas","Single Family Residential",218000,3,2.5,1739,8581,1983,125,"Texas",8457,116,781,3856,3704
"1860","Dallas","Single Family Residential",299900,3,2,1705,8015,1956,176,"Texas",8457,116,781,3856,3704
"1861","Dallas","Single Family Residential",1199000,4,4.5,3584,7492,1953,335,"Texas",8457,116,781,3856,3704
"1862","Dallas","Condo/Co-op",319000,2,2.5,1628,32278,2005,196,"Texas",8457,116,781,3856,3704
"1863","Dallas","Condo/Co-op",140000,2,2.5,1500,481382,1970,93,"Texas",8457,116,781,3856,3704
"1864","Dallas","Single Family Residential",355000,3,2,1895,7841,1974,187,"Texas",8457,116,781,3856,3704
"1865","Dallas","Single Family Residential",365000,4,3.5,3428,7492,2003,106,"Texas",8457,116,781,3856,3704
"1866","Dallas","Single Family Residential",69900,3,1,1229,6882,1959,57,"Texas",8457,116,781,3856,3704
"1868","Dallas","Single Family Residential",549000,4,2.5,2494,15682,1956,220,"Texas",8457,116,781,3856,3704
"1870","Dallas","Condo/Co-op",200000,2,2.5,1098,301958,1981,182,"Texas",8457,116,781,3856,3704
"1872","Dallas","Single Family Residential",399000,3,2,2015,10062,1958,198,"Texas",8457,116,781,3856,3704
"1873","Dallas","Single Family Residential",569000,3,2.5,1720,7536,1947,331,"Texas",8457,116,781,3856,3704
"1874","Dallas","Condo/Co-op",419900,2,2.5,1917,6403,2016,219,"Texas",8457,116,781,3856,3704
"1875","Dallas","Condo/Co-op",155000,1,1,813,185522,1966,191,"Texas",8457,116,781,3856,3704
"1877","Dallas","Single Family Residential",185000,4,2,1640,9670,2017,113,"Texas",8457,116,781,3856,3704
"1878","Dallas","Single Family Residential",284500,3,2,1330,7492,1955,214,"Texas",8457,116,781,3856,3704
"1879","Dallas","Single Family Residential",212900,4,2.5,2072,5750,2017,103,"Texas",8457,116,781,3856,3704
"1880","Dallas","Condo/Co-op",236500,2,1.5,1080,44954,1997,219,"Texas",8457,116,781,3856,3704
"1881","Dallas","Condo/Co-op",430000,1,1.5,1056,53709,2007,407,"Texas",8457,116,781,3856,3704
"1882","Dallas","Single Family Residential",350000,3,2,2597,10977,1926,135,"Texas",8457,116,781,3856,3704
"1883","Dallas","Single Family Residential",235000,3,2,1488,8102,1959,158,"Texas",8457,116,781,3856,3704
"1884","Dallas","Single Family Residential",2499000,6,6,6867,18818,1955,364,"Texas",8457,116,781,3856,3704
"1885","Dallas","Single Family Residential",275000,3,2,1774,8146,1962,155,"Texas",8457,116,781,3856,3704
"1886","Dallas","Single Family Residential",92500,3,1,1218,9453,1952,76,"Texas",8457,116,781,3856,3704
"1887","Dallas","Single Family Residential",213500,3,2.5,2324,8843,1964,92,"Texas",8457,116,781,3856,3704
"1888","Dallas","Single Family Residential",349900,4,2.5,2589,10019,1990,135,"Texas",8457,116,781,3856,3704
"1889","Dallas","Single Family Residential",375000,3,2,2107,5489,1979,178,"Texas",8457,116,781,3856,3704
"1890","Dallas","Single Family Residential",175000,4,2.5,1455,5009,2017,120,"Texas",8457,116,781,3856,3704
"1891","Dallas","Multi-Family (2-4 Unit)",250000,2,1,2640,6273,1966,95,"Texas",8457,116,781,3856,3704
"1892","Dallas","Single Family Residential",375000,4,3.5,2919,8930,2004,128,"Texas",8457,116,781,3856,3704
"1893","Dallas","Single Family Residential",915000,3,3.5,3469,11326,2008,264,"Texas",8457,116,781,3856,3704
"1894","Dallas","Single Family Residential",399500,3,2,2356,9104,1964,170,"Texas",8457,116,781,3856,3704
"1895","Dallas","Single Family Residential",534000,3,2,2124,5532,1936,251,"Texas",8457,116,781,3856,3704
"1897","Dallas","Single Family Residential",219000,3,2,1350,7492,1946,162,"Texas",8457,116,781,3856,3704
"1898","Dallas","Single Family Residential",550000,4,3,3358,17380,1962,164,"Texas",8457,116,781,3856,3704
"1899","Dallas","Condo/Co-op",475000,3,3.5,2023,110250,2014,235,"Texas",8457,116,781,3856,3704
"1900","Dallas","Single Family Residential",495000,2,2,1730,17076,1958,286,"Texas",8457,116,781,3856,3704
"1902","Dallas","Condo/Co-op",419000,2,2.5,1642,44997,1974,255,"Texas",8457,116,781,3856,3704
"1903","Dallas","Single Family Residential",825000,4,3.5,3989,22433,1980,207,"Texas",8457,116,781,3856,3704
"1904","Dallas","Single Family Residential",499900,3,2,2029,10890,1958,246,"Texas",8457,116,781,3856,3704
"1905","Dallas","Single Family Residential",119900,4,2,1182,7405,1959,101,"Texas",8457,116,781,3856,3704
"1906","Dallas","Condo/Co-op",259000,1,1,1277,123013,1957,203,"Texas",8457,116,781,3856,3704
"1907","Dallas","Single Family Residential",225000,3,2,1494,21780,1952,151,"Texas",8457,116,781,3856,3704
"1908","Dallas","Condo/Co-op",300000,1,1.5,1680,41774,1925,179,"Texas",8457,116,781,3856,3704
"1909","Dallas","Condo/Co-op",94000,1,1,733,203382,1982,128,"Texas",8457,116,781,3856,3704
"1910","Dallas","Condo/Co-op",149500,2,1.5,1147,273121,1954,130,"Texas",8457,116,781,3856,3704
"1911","Dallas","Single Family Residential",1499000,5,4,4904,17990,1951,306,"Texas",8457,116,781,3856,3704
"1912","Dallas","Single Family Residential",565000,3,3,2374,7405,1995,238,"Texas",8457,116,781,3856,3704
"1913","Dallas","Condo/Co-op",185000,2,1.5,942,24263,1983,196,"Texas",8457,116,781,3856,3704
"1915","Dallas","Single Family Residential",177000,3,1,1384,7971,1953,128,"Texas",8457,116,781,3856,3704
"1916","Dallas","Condo/Co-op",260000,3,2,1625,88862,1966,160,"Texas",8457,116,781,3856,3704
"1918","Dallas","Townhouse",270000,3,2.5,1967,3311,1993,137,"Texas",8457,116,781,3856,3704
"1920","Dallas","Single Family Residential",79900,3,1,1588,10672,1949,50,"Texas",8457,116,781,3856,3704
"1921","Dallas","Single Family Residential",385000,3,2.5,1820,9365,1960,212,"Texas",8457,116,781,3856,3704
"1922","Dallas","Single Family Residential",349000,2,2.5,2603,4835,1979,134,"Texas",8457,116,781,3856,3704
"1923","Dallas","Condo/Co-op",279000,1,1,1229,42863,1925,227,"Texas",8457,116,781,3856,3704
"1925","Dallas","Single Family Residential",209900,4,2.5,2002,8799,1964,105,"Texas",8457,116,781,3856,3704
"1926","Dallas","Multi-Family (2-4 Unit)",479000,3,2.5,2750,12850,1970,174,"Texas",8457,116,781,3856,3704
"1927","Dallas","Single Family Residential",89000,3,1.5,1344,7449,1940,66,"Texas",8457,116,781,3856,3704
"1928","Dallas","Townhouse",325000,3,2.5,2010,3572,1988,162,"Texas",8457,116,781,3856,3704
"1929","Dallas","Single Family Residential",210900,4,2.5,2171,7579,2017,97,"Texas",8457,116,781,3856,3704
"1930","Dallas","Single Family Residential",549000,3,3,2784,7623,1914,197,"Texas",8457,116,781,3856,3704
"1931","Dallas","Single Family Residential",425000,4,2.5,1952,8364,1959,218,"Texas",8457,116,781,3856,3704
"1932","Dallas","Single Family Residential",275500,3,2,1347,9453,1959,205,"Texas",8457,116,781,3856,3704
"1933","Dallas","Single Family Residential",350000,3,1.5,1392,6098,1954,251,"Texas",8457,116,781,3856,3704
"1934","Dallas","Single Family Residential",339900,3,2,1368,5445,1947,248,"Texas",8457,116,781,3856,3704
"1935","Dallas","Single Family Residential",850000,5,5.5,4532,20125,1982,188,"Texas",8457,116,781,3856,3704
"1937","Dallas","Single Family Residential",329900,3,2.5,2210,4356,1990,149,"Texas",8457,116,781,3856,3704
"1938","Dallas","Condo/Co-op",209900,1,1,1474,36503,1918,142,"Texas",8457,116,781,3856,3704
"1939","Dallas","Single Family Residential",80000,3,1,1403,19733,1920,57,"Texas",8457,116,781,3856,3704
"1940","Dallas","Condo/Co-op",342000,2,2.5,1544,24002,1981,222,"Texas",8457,116,781,3856,3704
"1941","Dallas","Single Family Residential",195900,4,2.5,2083,8233,2017,94,"Texas",8457,116,781,3856,3704
"1943","Dallas","Single Family Residential",299000,3,2,1590,8799,1957,188,"Texas",8457,116,781,3856,3704
"1944","Dallas","Single Family Residential",365000,2,2,1609,6098,1939,227,"Texas",8457,116,781,3856,3704
"1945","Dallas","Single Family Residential",224900,3,2,1754,21824,1975,128,"Texas",8457,116,781,3856,3704
"1947","Dallas","Single Family Residential",269900,3,2,2055,9235,1983,131,"Texas",8457,116,781,3856,3704
"1948","Dallas","Condo/Co-op",45000,1,1,732,783644,1982,61,"Texas",8457,116,781,3856,3704
"1949","Dallas","Townhouse",189000,3,2,1440,148714,1980,131,"Texas",8457,116,781,3856,3704
"1950","Dallas","Condo/Co-op",89900,1,1.5,900,214577,1982,100,"Texas",8457,116,781,3856,3704
"1951","Dallas","Single Family Residential",479000,3,2,2075,12632,1961,231,"Texas",8457,116,781,3856,3704
"1952","Dallas","Single Family Residential",65000,2,1,744,7231,1950,87,"Texas",8457,116,781,3856,3704
"1953","Dallas","Single Family Residential",275000,4,2.5,1987,12327,1962,138,"Texas",8457,116,781,3856,3704
"1954","Dallas","Single Family Residential",460000,4,3,2388,9845,1968,193,"Texas",8457,116,781,3856,3704
"1956","Dallas","Single Family Residential",224900,3,2,1480,7536,1955,152,"Texas",8457,116,781,3856,3704
"1957","Dallas","Single Family Residential",480000,4,3.5,2671,17903,1967,180,"Texas",8457,116,781,3856,3704
"1958","Dallas","Single Family Residential",549900,4,3,2472,7884,1982,222,"Texas",8457,116,781,3856,3704
"1959","Dallas","Single Family Residential",549000,4,3,2650,11761,1986,207,"Texas",8457,116,781,3856,3704
"1960","Dallas","Single Family Residential",90000,3,1,1141,7928,1956,79,"Texas",8457,116,781,3856,3704
"1961","Dallas","Single Family Residential",750000,5,3.5,3328,15987,1971,225,"Texas",8457,116,781,3856,3704
"1962","Dallas","Single Family Residential",171000,3,2,1780,7841,1982,96,"Texas",8457,116,781,3856,3704
"1963","Dallas","Townhouse",155000,2,2,1663,3006,1978,93,"Texas",8457,116,781,3856,3704
"1964","Dallas","Condo/Co-op",184999,2,2.5,1179,198677,1983,157,"Texas",8457,116,781,3856,3704
"1965","Dallas","Condo/Co-op",95000,2,1.5,1070,241279,1983,89,"Texas",8457,116,781,3856,3704
"1967","Dallas","Single Family Residential",529000,4,3,2550,16117,1965,207,"Texas",8457,116,781,3856,3704
"1968","Dallas","Single Family Residential",400000,4,2,2580,9714,1972,155,"Texas",8457,116,781,3856,3704
"1969","Dallas","Single Family Residential",460000,2,2,1410,7405,1948,326,"Texas",8457,116,781,3856,3704
"1971","Dallas","Single Family Residential",619900,4,3,3460,10019,1985,179,"Texas",8457,116,781,3856,3704
"1972","Dallas","Single Family Residential",145000,3,2.5,1409,4356,1999,103,"Texas",8457,116,781,3856,3704
"1973","Dallas","Single Family Residential",650000,4,3,3012,8276,1975,216,"Texas",8457,116,781,3856,3704
"1974","Dallas","Single Family Residential",899900,5,5,5016,19776,1966,179,"Texas",8457,116,781,3856,3704
"1975","Dallas","Single Family Residential",1149000,4,5.5,4284,7841,2017,268,"Texas",8457,116,781,3856,3704
"1976","Dallas","Single Family Residential",94900,4,2,1218,7275,1972,78,"Texas",8457,116,781,3856,3704
"1977","Dallas","Single Family Residential",250000,3,2,1761,5706,1948,142,"Texas",8457,116,781,3856,3704
"1978","Dallas","Condo/Co-op",239900,2,2.5,1076,27835,1960,223,"Texas",8457,116,781,3856,3704
"1979","Dallas","Single Family Residential",149500,3,2,1107,7623,1951,135,"Texas",8457,116,781,3856,3704
"1980","Dallas","Single Family Residential",299900,2,1,847,8146,1944,354,"Texas",8457,116,781,3856,3704
"1981","Dallas","Single Family Residential",499900,3,2.5,2893,12632,1961,173,"Texas",8457,116,781,3856,3704
"1982","Dallas","Single Family Residential",289900,4,2,1810,7536,1962,160,"Texas",8457,116,781,3856,3704
"1983","Dallas","Single Family Residential",126000,3,2.5,1466,21780,2004,86,"Texas",8457,116,781,3856,3704
