"","CITY","PROPERTY.TYPE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","X..SQUARE.FEET","State","Violent.Crimes","Murder.and.Non.Negligent.Manslaughter","Rape","Robbery","Aggravated.Assault"
"584","Dallas","Single Family Residential",187500,3,2,1638,5968,2009,114,"Texas",8457,116,781,3856,3704
"585","Dallas","Single Family Residential",419900,3,2,2133,9060,1969,197,"Texas",8457,116,781,3856,3704
"586","Dallas","Single Family Residential",399999,2,2,1302,7231,1926,307,"Texas",8457,116,781,3856,3704
"587","Dallas","Single Family Residential",569900,4,3.5,3163,8581,1967,180,"Texas",8457,116,781,3856,3704
"588","Dallas","Condo/Co-op",248500,2,2,1240,429981,1983,200,"Texas",8457,116,781,3856,3704
"589","Dallas","Single Family Residential",1550000,5,5,5668,11500,2003,273,"Texas",8457,116,781,3856,3704
"590","Dallas","Single Family Residential",263800,3,2,1635,9322,1956,161,"Texas",8457,116,781,3856,3704
"592","Dallas","Single Family Residential",562500,5,4,3634,16117,1981,155,"Texas",8457,116,781,3856,3704
"593","Dallas","Multi-Family (2-4 Unit)",399900,5,4,3074,10193,1970,130,"Texas",8457,116,781,3856,3704
"594","Dallas","Single Family Residential",189900,4,2,1441,7536,1964,132,"Texas",8457,116,781,3856,3704
"595","Dallas","Condo/Co-op",315000,1,1.5,973,51139,1998,324,"Texas",8457,116,781,3856,3704
"596","Dallas","Single Family Residential",159900,3,2,1690,5576,2004,95,"Texas",8457,116,781,3856,3704
"597","Dallas","Single Family Residential",338000,3,2.5,2116,6098,1994,160,"Texas",8457,116,781,3856,3704
"599","Dallas","Single Family Residential",220900,5,2.5,2700,7928,2017,82,"Texas",8457,116,781,3856,3704
"600","Dallas","Condo/Co-op",185000,2,1,1075,97444,1963,172,"Texas",8457,116,781,3856,3704
"602","Dallas","Condo/Co-op",425000,2,2.5,2409,35022,2001,176,"Texas",8457,116,781,3856,3704
"603","Dallas","Single Family Residential",92000,3,2,1700,20909,1955,54,"Texas",8457,116,781,3856,3704
"604","Dallas","Single Family Residential",164900,3,2,1422,8538,2016,116,"Texas",8457,116,781,3856,3704
"605","Dallas","Single Family Residential",1895000,4,4.5,4687,75794,1993,404,"Texas",8457,116,781,3856,3704
"606","Dallas","Condo/Co-op",124900,2,1,841,287888,1970,149,"Texas",8457,116,781,3856,3704
"607","Dallas","Single Family Residential",115000,4,1.5,1537,11238,1948,75,"Texas",8457,116,781,3856,3704
"608","Dallas","Condo/Co-op",257500,3,2,1625,88862,1966,158,"Texas",8457,116,781,3856,3704
"609","Dallas","Condo/Co-op",150000,2,1.5,1147,273121,1954,131,"Texas",8457,116,781,3856,3704
"610","Dallas","Single Family Residential",765000,4,4,4209,7492,2008,182,"Texas",8457,116,781,3856,3704
"611","Dallas","Single Family Residential",459000,3,2,1570,9104,1953,292,"Texas",8457,116,781,3856,3704
"612","Dallas","Single Family Residential",89900,3,1,1048,7710,1954,86,"Texas",8457,116,781,3856,3704
"613","Dallas","Condo/Co-op",198000,2,2,1100,100014,1963,180,"Texas",8457,116,781,3856,3704
"614","Dallas","Condo/Co-op",199000,2,2.5,1102,50965,1980,181,"Texas",8457,116,781,3856,3704
"615","Dallas","Single Family Residential",525000,4,3,2084,7536,2013,252,"Texas",8457,116,781,3856,3704
"616","Dallas","Multi-Family (2-4 Unit)",259900,3,2,2502,5968,1978,104,"Texas",8457,116,781,3856,3704
"618","Dallas","Townhouse",267900,3,3,2587,2657,2008,104,"Texas",8457,116,781,3856,3704
"619","Dallas","Townhouse",139000,3,2.5,1636,1612,1982,85,"Texas",8457,116,781,3856,3704
"620","Dallas","Single Family Residential",29900,2,1,532,7667,1920,56,"Texas",8457,116,781,3856,3704
"621","Dallas","Single Family Residential",189999,4,2,1917,8189,2004,99,"Texas",8457,116,781,3856,3704
"622","Dallas","Single Family Residential",165000,3,2,1638,21780,2003,101,"Texas",8457,116,781,3856,3704
"623","Dallas","Single Family Residential",1100000,5,2,1850,13678,1950,595,"Texas",8457,116,781,3856,3704
"624","Dallas","Multi-Family (2-4 Unit)",325000,3,2.5,1998,4922,1994,163,"Texas",8457,116,781,3856,3704
"625","Dallas","Condo/Co-op",625000,2,2.5,2255,28662,2004,277,"Texas",8457,116,781,3856,3704
"626","Dallas","Single Family Residential",389000,3,3,2184,8494,1978,178,"Texas",8457,116,781,3856,3704
"627","Dallas","Single Family Residential",199900,4,2,1953,7623,1948,102,"Texas",8457,116,781,3856,3704
"629","Dallas","Single Family Residential",315000,3,2,2319,9670,1983,136,"Texas",8457,116,781,3856,3704
"630","Dallas","Single Family Residential",246000,3,2,1602,8364,1948,154,"Texas",8457,116,781,3856,3704
"631","Dallas","Single Family Residential",165000,3,2,1310,6882,2016,126,"Texas",8457,116,781,3856,3704
"632","Dallas","Condo/Co-op",419900,2,2,1346,39727,2005,312,"Texas",8457,116,781,3856,3704
"633","Dallas","Condo/Co-op",419000,2,2,1712,15246,1958,245,"Texas",8457,116,781,3856,3704
"634","Dallas","Single Family Residential",39999,3,1,1195,7667,1959,33,"Texas",8457,116,781,3856,3704
"635","Dallas","Single Family Residential",297000,3,2.5,1869,3049,1992,159,"Texas",8457,116,781,3856,3704
"636","Dallas","Condo/Co-op",165000,2,1.5,1145,273121,1954,144,"Texas",8457,116,781,3856,3704
"638","Dallas","Single Family Residential",185000,3,2.5,1693,6011,2007,109,"Texas",8457,116,781,3856,3704
"639","Dallas","Single Family Residential",159900,3,2,1200,7405,1959,133,"Texas",8457,116,781,3856,3704
"640","Dallas","Single Family Residential",124900,3,1.5,1092,7318,1971,114,"Texas",8457,116,781,3856,3704
"642","Dallas","Single Family Residential",445000,4,3,2398,9583,1982,186,"Texas",8457,116,781,3856,3704
"643","Dallas","Single Family Residential",182000,4,2.5,1901,3485,2006,96,"Texas",8457,116,781,3856,3704
"644","Dallas","Single Family Residential",749000,4,3.5,3734,12023,1969,201,"Texas",8457,116,781,3856,3704
"645","Dallas","Single Family Residential",1499000,5,4.5,5459,16466,2004,275,"Texas",8457,116,781,3856,3704
"646","Dallas","Single Family Residential",359900,4,3,3120,15290,2011,115,"Texas",8457,116,781,3856,3704
"647","Dallas","Single Family Residential",315000,3,2,1863,5227,1982,169,"Texas",8457,116,781,3856,3704
"648","Dallas","Single Family Residential",395000,3,2.5,1868,8015,1979,211,"Texas",8457,116,781,3856,3704
"649","Dallas","Single Family Residential",249900,3,2,2053,9975,1956,122,"Texas",8457,116,781,3856,3704
"650","Dallas","Single Family Residential",409000,4,3,2900,8973,1983,141,"Texas",8457,116,781,3856,3704
"651","Dallas","Single Family Residential",146900,4,2,1527,7797,1995,96,"Texas",8457,116,781,3856,3704
"652","Dallas","Single Family Residential",515000,4,3,2785,8625,1977,185,"Texas",8457,116,781,3856,3704
"653","Dallas","Condo/Co-op",220000,1,1,816,154028,1998,270,"Texas",8457,116,781,3856,3704
"654","Dallas","Single Family Residential",450000,4,3,2742,10890,1976,164,"Texas",8457,116,781,3856,3704
"656","Dallas","Single Family Residential",435000,4,2.5,2375,9278,1959,183,"Texas",8457,116,781,3856,3704
"657","Dallas","Single Family Residential",562900,4,3.5,3390,18513,1968,166,"Texas",8457,116,781,3856,3704
"658","Dallas","Single Family Residential",179900,3,2,1529,5401,2012,118,"Texas",8457,116,781,3856,3704
"659","Dallas","Condo/Co-op",480000,2,2.5,2305,16074,1994,208,"Texas",8457,116,781,3856,3704
"660","Dallas","Single Family Residential",64000,3,2,1127,10367,1952,57,"Texas",8457,116,781,3856,3704
